SY9,SY13,SY201,SY101,SY102,SY116,SYX211
0.000000000000000000e+00,1.705450894487193581e-03,5.130903241628698413e-04,6.611272135724685899e-04,2.328626873280153250e-04,5.421309268993313108e-04,7.493372706956352713e-04
1.705450894487193147e-03,0.000000000000000000e+00,3.945756355911219249e-04,4.772794487814814818e-04,2.048880966918287185e-04,4.119951128523680365e-04,8.549913073684293607e-04
5.130903241628700581e-04,3.945756355911220876e-04,0.000000000000000000e+00,2.894371811251059351e-04,3.605856250709682563e-04,2.638627485057349481e-04,3.049578482645732354e-04
6.611272135724689152e-04,4.772794487814815902e-04,2.894371811251060978e-04,0.000000000000000000e+00,2.958918725813463203e-04,1.177028201071147464e-03,3.512458040416700789e-04
2.328626873280152979e-04,2.048880966918286372e-04,3.605856250709682563e-04,2.958918725813463745e-04,0.000000000000000000e+00,2.405694501402958266e-04,1.776942588621714680e-04
5.421309268993312024e-04,4.119951128523679823e-04,2.638627485057351107e-04,1.177028201071147247e-03,2.405694501402957995e-04,0.000000000000000000e+00,3.145629660274944900e-04
7.493372706956349461e-04,8.549913073684288186e-04,3.049578482645731812e-04,3.512458040416700246e-04,1.776942588621714680e-04,3.145629660274944358e-04,0.000000000000000000e+00
