2026-02-09 23:49:25 - M5Trainer - INFO -   井 SY9: 1025 条同化数据
2026-02-09 23:49:25 - M5Trainer - INFO -   M3 PVT cg(76.0, 141.39) = 0.009744
2026-02-09 23:49:25 - M5Trainer - INFO -   M3 PVT Bg(76.0, 141.39) = 0.002577
2026-02-09 23:49:25 - M5Trainer - INFO -   PDE 缩放: αx=1.017765, αy=2.546600
2026-02-09 23:49:25 - M5Trainer - INFO - M5Trainer 初始化完成: device=cuda, lr=0.001, max_steps=8000, relobralo=True, rar=True
2026-02-09 23:49:25 - M5Trainer - INFO - ============================================================
2026-02-09 23:49:25 - M5Trainer - INFO - M5 PINN 井—藏耦合同化训练开始
2026-02-09 23:49:25 - M5Trainer - INFO - ============================================================
2026-02-09 23:50:10 - M5Trainer - INFO - [Step  2100/8000] Stage B | L=2.0148e-03 (IC=2.186e-02, BC=9.579e-04, PDE=3.237e-01, Qg=1.114e+03) | k=4.96 mD, f=10.0 | Sw=[0.290,0.997] | 45.3s
2026-02-09 23:50:16 - M5Trainer - INFO - [Step  2200/8000] Stage B | L=1.6456e-03 (IC=1.739e-02, BC=1.679e-04, PDE=2.438e-01, Qg=6.893e+02) | k=4.96 mD, f=10.0 | Sw=[0.304,0.998] | 50.9s
2026-02-09 23:50:20 - M5Trainer - INFO - [Step  2300/8000] Stage B | L=2.9091e-03 (IC=2.082e-02, BC=2.060e-04, PDE=2.420e-01, Qg=6.774e+02) | k=4.95 mD, f=10.0 | Sw=[0.289,0.998] | 55.3s
2026-02-09 23:50:25 - M5Trainer - INFO - [Step  2400/8000] Stage B | L=8.9595e-01 (IC=2.515e-01, BC=2.673e-01, PDE=5.849e-01, Qg=1.294e+02) | k=4.95 mD, f=10.0 | Sw=[0.236,0.995] | 59.7s
2026-02-09 23:50:29 - M5Trainer - INFO - [Step  2500/8000] Stage B | L=2.3307e-03 (IC=1.342e-02, BC=5.134e-04, PDE=4.782e-01, Qg=4.746e+02) | k=4.95 mD, f=9.9 | Sw=[0.278,0.996] | 64.0s
2026-02-09 23:50:33 - M5Trainer - INFO - [Step  2600/8000] Stage B | L=1.8960e-01 (IC=5.200e-02, BC=5.364e-03, PDE=5.988e+00, Qg=2.536e+01) | k=4.95 mD, f=9.9 | Sw=[0.374,0.996] | 68.4s
2026-02-09 23:50:38 - M5Trainer - INFO - [Step  2700/8000] Stage B | L=1.8851e-03 (IC=1.226e-02, BC=4.845e-05, PDE=1.723e-01, Qg=5.572e+02) | k=4.95 mD, f=9.9 | Sw=[0.328,0.997] | 72.7s
2026-02-09 23:50:42 - M5Trainer - INFO - [Step  2800/8000] Stage B | L=2.7389e-03 (IC=1.418e-02, BC=4.001e-04, PDE=1.735e-01, Qg=3.236e+02) | k=4.94 mD, f=9.9 | Sw=[0.298,0.997] | 77.0s
2026-02-09 23:50:46 - M5Trainer - INFO - [Step  2900/8000] Stage B | L=2.3207e-02 (IC=3.988e-02, BC=3.945e-03, PDE=3.786e-01, Qg=4.430e+01) | k=4.94 mD, f=9.9 | Sw=[0.493,0.996] | 81.4s
2026-02-09 23:50:51 - M5Trainer - INFO - [Step  3000/8000] Stage B | L=3.0872e-03 (IC=1.272e-02, BC=5.473e-04, PDE=2.186e-01, Qg=4.157e+02) | k=4.94 mD, f=9.9 | Sw=[0.392,0.996] | 85.8s
