2026-03-01 02:54:42 - SourceTerm - INFO - GaussianSourceTerm: σ=0.05, cutoff=3.0σ
2026-03-01 09:01:31 - SourceTerm - INFO - GaussianSourceTerm: σ=0.05, cutoff=3.0σ
2026-03-01 15:18:47 - SourceTerm - INFO - GaussianSourceTerm: σ=0.05, cutoff=3.0σ
2026-03-01 21:36:21 - SourceTerm - INFO - GaussianSourceTerm: σ=0.05, cutoff=3.0σ
2026-03-02 03:44:44 - SourceTerm - INFO - GaussianSourceTerm: σ=0.05, cutoff=3.0σ
2026-03-02 10:06:54 - SourceTerm - INFO - GaussianSourceTerm: σ=0.05, cutoff=3.0σ
2026-03-02 16:09:40 - SourceTerm - INFO - GaussianSourceTerm: σ=0.05, cutoff=3.0σ
2026-03-02 21:59:41 - SourceTerm - INFO - GaussianSourceTerm: σ=0.05, cutoff=3.0σ
2026-03-03 04:07:31 - SourceTerm - INFO - GaussianSourceTerm: σ=0.05, cutoff=3.0σ
2026-03-03 09:46:01 - SourceTerm - INFO - GaussianSourceTerm: σ=0.05, cutoff=3.0σ
