2026-02-10 18:31:23 - M5Trainer - INFO -   torch.compile 已跳过 (Triton 不支持 Windows, 使用 eager 模式)
2026-02-10 18:31:24 - M5Trainer - INFO -   井 SY9: 1025 条同化数据
2026-02-10 18:31:24 - M5Trainer - INFO -   M3 PVT cg(76.0, 141.39) = 0.009744
2026-02-10 18:31:24 - M5Trainer - INFO -   M3 PVT Bg(76.0, 141.39) = 0.002577
2026-02-10 18:31:24 - M5Trainer - INFO -   PDE 缩放: αx=1.017765, αy=2.546600
2026-02-10 18:31:24 - M5Trainer - INFO - M5Trainer 初始化完成: device=cuda, lr=0.001, max_steps=50000, relobralo=True, rar=True
2026-02-10 18:31:24 - M5Trainer - INFO - ============================================================
2026-02-10 18:31:24 - M5Trainer - INFO - M5 PINN 井—藏耦合同化训练开始
2026-02-10 18:31:24 - M5Trainer - INFO - ============================================================
2026-02-10 18:35:53 - M5Trainer - INFO - [Step  2000/50000] Stage A | L=1.1174e-02 (IC=1.412e-04, BC=2.664e-05, PDE=2.806e+04, Qg=6.735e+00) | k=5.00 mD, f=10.0 | Sw=[0.162,0.891] | 268.7s
2026-02-10 18:36:08 - M5Trainer - INFO - [Step  2100/50000] Stage A | L=4.0684e-02 (IC=1.183e-02, BC=1.094e-02, PDE=7.105e+03, Qg=7.057e+00) | k=5.00 mD, f=10.0 | Sw=[0.106,0.979] | 283.7s
2026-02-10 18:36:22 - M5Trainer - INFO - [Step  2200/50000] Stage A | L=2.5391e-01 (IC=6.130e-04, BC=7.882e-05, PDE=1.161e+05, Qg=5.238e+00) | k=5.00 mD, f=10.0 | Sw=[0.011,0.933] | 298.1s
2026-02-10 18:36:36 - M5Trainer - INFO - [Step  2300/50000] Stage A | L=1.2113e+02 (IC=4.319e-03, BC=3.834e-03, PDE=2.921e+06, Qg=4.684e+00) | k=5.00 mD, f=10.0 | Sw=[0.194,0.321] | 312.4s
2026-02-10 18:36:51 - M5Trainer - INFO - [Step  2400/50000] Stage A | L=6.7623e+00 (IC=6.276e-03, BC=4.068e-03, PDE=5.620e+05, Qg=3.355e+00) | k=5.00 mD, f=10.0 | Sw=[0.162,0.539] | 326.7s
2026-02-10 18:37:05 - M5Trainer - INFO - [Step  2500/50000] Stage A | L=1.4567e+00 (IC=1.517e-03, BC=1.942e-04, PDE=2.596e+05, Qg=4.809e+00) | k=5.00 mD, f=10.0 | Sw=[0.144,0.659] | 341.3s
2026-02-10 18:37:21 - M5Trainer - INFO - [Step  2600/50000] Stage A | L=8.7323e-01 (IC=1.331e-03, BC=1.509e-04, PDE=1.951e+05, Qg=5.177e+00) | k=5.00 mD, f=9.9 | Sw=[0.166,0.629] | 356.9s
2026-02-10 18:37:35 - M5Trainer - INFO - [Step  2700/50000] Stage A | L=4.9020e-01 (IC=1.543e-02, BC=4.751e-03, PDE=1.270e+05, Qg=5.956e+00) | k=5.00 mD, f=9.9 | Sw=[0.084,0.770] | 371.4s
2026-02-10 18:37:49 - M5Trainer - INFO - [Step  2800/50000] Stage A | L=5.4834e-01 (IC=1.012e-03, BC=1.265e-04, PDE=1.433e+05, Qg=5.478e+00) | k=5.00 mD, f=9.9 | Sw=[0.150,0.633] | 385.0s
2026-02-10 18:38:05 - M5Trainer - INFO - [Step  2900/50000] Stage A | L=3.2638e+00 (IC=7.826e-03, BC=4.384e-03, PDE=3.395e+05, Qg=2.283e+00) | k=5.00 mD, f=9.9 | Sw=[0.166,0.360] | 400.8s
