2026-03-01 02:54:42 - WellModel - INFO - WellModel v3 初始化: 1 口井 ['SY9'], k_frac=6.96 mD, wi_factor=已删除, PVT=TorchPVT
2026-03-01 09:01:31 - WellModel - INFO - WellModel v3 初始化: 1 口井 ['SY9'], k_frac=5.87 mD, wi_factor=已删除, PVT=TorchPVT
2026-03-01 15:18:47 - WellModel - INFO - WellModel v3 初始化: 1 口井 ['SY9'], k_frac=11.58 mD, wi_factor=已删除, PVT=TorchPVT
2026-03-01 21:36:21 - WellModel - INFO - WellModel v3 初始化: 1 口井 ['SY9'], k_frac=6.68 mD, wi_factor=已删除, PVT=TorchPVT
2026-03-02 03:44:44 - WellModel - INFO - WellModel v3 初始化: 1 口井 ['SY9'], k_frac=7.89 mD, wi_factor=已删除, PVT=TorchPVT
2026-03-02 10:06:54 - WellModel - INFO - WellModel v3 初始化: 1 口井 ['SY9'], k_frac=8.95 mD, wi_factor=已删除, PVT=TorchPVT
2026-03-02 16:09:40 - WellModel - INFO - WellModel v3 初始化: 1 口井 ['SY9'], k_frac=4.91 mD, wi_factor=已删除, PVT=TorchPVT
2026-03-02 21:59:41 - WellModel - INFO - WellModel v3 初始化: 1 口井 ['SY9'], k_frac=12.36 mD, wi_factor=已删除, PVT=TorchPVT
2026-03-03 04:07:31 - WellModel - INFO - WellModel v3 初始化: 1 口井 ['SY9'], k_frac=8.23 mD, wi_factor=已删除, PVT=TorchPVT
2026-03-03 09:46:01 - WellModel - INFO - WellModel v3 初始化: 1 口井 ['SY9'], k_frac=9.32 mD, wi_factor=已删除, PVT=TorchPVT
