2026-02-10 00:21:08 - RARSampler - INFO - RARSampler: enable=True, interval=500, n_candidates=5000, n_add=200, max_total=8000
2026-02-10 00:21:15 - RARSampler - INFO - [RAR step 500] 加入 200 个高残差点, 总 RAR 点数: 200, 残差统计: mean=1.8924e+01, max=6.0886e+03, median=1.0712e+00
2026-02-10 00:21:27 - RARSampler - INFO - [RAR step 1000] 加入 200 个高残差点, 总 RAR 点数: 400, 残差统计: mean=5.2264e-01, max=1.0402e+01, median=3.9189e-01
2026-02-10 00:21:49 - RARSampler - INFO - [RAR step 1500] 加入 200 个高残差点, 总 RAR 点数: 600, 残差统计: mean=1.4945e-01, max=8.7023e+00, median=9.5471e-02
2026-02-10 00:22:11 - RARSampler - INFO - [RAR step 2000] 加入 200 个高残差点, 总 RAR 点数: 800, 残差统计: mean=5.7814e-02, max=2.5898e+00, median=3.8972e-02
2026-02-10 00:22:35 - RARSampler - INFO - [RAR step 2500] 加入 200 个高残差点, 总 RAR 点数: 1000, 残差统计: mean=7.9567e-02, max=2.0646e+00, median=5.4903e-02
2026-02-10 00:22:58 - RARSampler - INFO - [RAR step 3000] 加入 200 个高残差点, 总 RAR 点数: 1200, 残差统计: mean=3.3504e-02, max=1.3121e+00, median=2.1365e-02
2026-02-10 00:23:23 - RARSampler - INFO - [RAR step 3500] 加入 200 个高残差点, 总 RAR 点数: 1400, 残差统计: mean=2.9447e-02, max=1.4471e+00, median=2.0221e-02
2026-02-10 00:23:48 - RARSampler - INFO - RARSampler: enable=True, interval=500, n_candidates=5000, n_add=200, max_total=8000
2026-02-10 00:23:55 - RARSampler - INFO - [RAR step 500] 加入 200 个高残差点, 总 RAR 点数: 200, 残差统计: mean=1.5185e+01, max=1.6047e+03, median=1.9788e+00
2026-02-10 00:24:09 - RARSampler - INFO - [RAR step 1000] 加入 200 个高残差点, 总 RAR 点数: 400, 残差统计: mean=3.1911e-01, max=9.6144e+00, median=1.6021e-01
2026-02-10 00:24:32 - RARSampler - INFO - [RAR step 1500] 加入 200 个高残差点, 总 RAR 点数: 600, 残差统计: mean=1.1349e-01, max=3.5857e+00, median=5.6222e-02
2026-02-10 00:24:56 - RARSampler - INFO - [RAR step 2000] 加入 200 个高残差点, 总 RAR 点数: 800, 残差统计: mean=6.4712e-02, max=1.9158e+00, median=3.5203e-02
2026-02-10 00:25:21 - RARSampler - INFO - [RAR step 2500] 加入 200 个高残差点, 总 RAR 点数: 1000, 残差统计: mean=4.2004e-02, max=1.1979e+00, median=2.2249e-02
2026-02-10 00:25:45 - RARSampler - INFO - [RAR step 3000] 加入 200 个高残差点, 总 RAR 点数: 1200, 残差统计: mean=3.7904e-02, max=1.7014e+00, median=1.8085e-02
2026-02-10 00:26:07 - RARSampler - INFO - [RAR step 3500] 加入 200 个高残差点, 总 RAR 点数: 1400, 残差统计: mean=2.3494e-02, max=8.7336e-01, median=1.2211e-02
2026-02-10 00:26:31 - RARSampler - INFO - RARSampler: enable=True, interval=500, n_candidates=5000, n_add=200, max_total=8000
2026-02-10 00:26:38 - RARSampler - INFO - [RAR step 500] 加入 200 个高残差点, 总 RAR 点数: 200, 残差统计: mean=1.5257e+01, max=1.7820e+03, median=9.6559e-01
2026-02-10 00:26:53 - RARSampler - INFO - [RAR step 1000] 加入 200 个高残差点, 总 RAR 点数: 400, 残差统计: mean=4.3254e-01, max=1.0994e+01, median=2.9353e-01
2026-02-10 00:27:17 - RARSampler - INFO - [RAR step 1500] 加入 200 个高残差点, 总 RAR 点数: 600, 残差统计: mean=1.0618e-01, max=4.6294e+00, median=6.3578e-02
2026-02-10 00:27:42 - RARSampler - INFO - [RAR step 2000] 加入 200 个高残差点, 总 RAR 点数: 800, 残差统计: mean=5.7752e-02, max=4.6229e+00, median=3.4698e-02
2026-02-10 00:28:08 - RARSampler - INFO - [RAR step 2500] 加入 200 个高残差点, 总 RAR 点数: 1000, 残差统计: mean=4.5277e-02, max=2.7434e+00, median=2.8932e-02
2026-02-10 00:28:33 - RARSampler - INFO - [RAR step 3000] 加入 200 个高残差点, 总 RAR 点数: 1200, 残差统计: mean=2.1888e-02, max=1.2325e+00, median=1.2779e-02
2026-02-10 00:28:53 - RARSampler - INFO - [RAR step 3500] 加入 200 个高残差点, 总 RAR 点数: 1400, 残差统计: mean=2.0347e-02, max=2.5319e+00, median=1.1291e-02
2026-02-10 00:29:13 - RARSampler - INFO - RARSampler: enable=True, interval=500, n_candidates=5000, n_add=200, max_total=8000
2026-02-10 00:29:19 - RARSampler - INFO - [RAR step 500] 加入 200 个高残差点, 总 RAR 点数: 200, 残差统计: mean=1.8208e+01, max=1.8801e+03, median=2.5949e+00
2026-02-10 00:29:32 - RARSampler - INFO - [RAR step 1000] 加入 200 个高残差点, 总 RAR 点数: 400, 残差统计: mean=6.5505e-01, max=2.2680e+01, median=4.6099e-01
2026-02-10 00:29:56 - RARSampler - INFO - [RAR step 1500] 加入 200 个高残差点, 总 RAR 点数: 600, 残差统计: mean=1.3331e-01, max=3.5948e+00, median=8.5746e-02
2026-02-10 00:30:22 - RARSampler - INFO - [RAR step 2000] 加入 200 个高残差点, 总 RAR 点数: 800, 残差统计: mean=1.3607e-01, max=3.4409e+00, median=5.4810e-02
2026-02-10 00:30:48 - RARSampler - INFO - [RAR step 2500] 加入 200 个高残差点, 总 RAR 点数: 1000, 残差统计: mean=1.4078e-01, max=1.0017e+01, median=7.8082e-02
2026-02-10 00:31:13 - RARSampler - INFO - [RAR step 3000] 加入 200 个高残差点, 总 RAR 点数: 1200, 残差统计: mean=3.6548e-02, max=2.5993e+00, median=2.2214e-02
2026-02-10 00:31:37 - RARSampler - INFO - [RAR step 3500] 加入 200 个高残差点, 总 RAR 点数: 1400, 残差统计: mean=2.8191e-02, max=1.7596e+00, median=1.6418e-02
2026-02-10 00:31:58 - RARSampler - INFO - RARSampler: enable=True, interval=500, n_candidates=5000, n_add=200, max_total=8000
2026-02-10 00:32:04 - RARSampler - INFO - [RAR step 500] 加入 200 个高残差点, 总 RAR 点数: 200, 残差统计: mean=1.5211e+01, max=2.7201e+03, median=1.1086e+00
2026-02-10 00:32:16 - RARSampler - INFO - [RAR step 1000] 加入 200 个高残差点, 总 RAR 点数: 400, 残差统计: mean=2.7657e-01, max=8.8040e+00, median=1.5514e-01
2026-02-10 00:32:39 - RARSampler - INFO - [RAR step 1500] 加入 200 个高残差点, 总 RAR 点数: 600, 残差统计: mean=1.0542e-01, max=4.5836e+00, median=6.6538e-02
2026-02-10 00:33:04 - RARSampler - INFO - [RAR step 2000] 加入 200 个高残差点, 总 RAR 点数: 800, 残差统计: mean=4.9118e-02, max=2.0430e+00, median=3.2857e-02
2026-02-10 00:33:25 - RARSampler - INFO - [RAR step 2500] 加入 200 个高残差点, 总 RAR 点数: 1000, 残差统计: mean=3.1679e-02, max=1.6607e+00, median=2.0489e-02
2026-02-10 00:33:45 - RARSampler - INFO - [RAR step 3000] 加入 200 个高残差点, 总 RAR 点数: 1200, 残差统计: mean=3.7951e-02, max=2.4180e+00, median=1.9259e-02
2026-02-10 00:34:05 - RARSampler - INFO - [RAR step 3500] 加入 200 个高残差点, 总 RAR 点数: 1400, 残差统计: mean=2.0070e-02, max=1.7405e+00, median=1.1569e-02
